#options: 2560x1440 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2436 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:114 out:114 type:P dur:2 cpbdur:2 q:54.15 aq:49.30 tex:33623 mv:19160 misc:6185 imb:2907 pmb:674 smb:10819 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:54.20 aq:49.68 tex:37179 mv:21942 misc:6407 imb:3101 pmb:784 smb:10515 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:54.16 aq:48.77 tex:42312 mv:25537 misc:6815 imb:3607 pmb:930 smb:9863 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:54.12 aq:48.91 tex:21227 mv:18605 misc:7088 imb:1649 pmb:959 smb:11792 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:54.09 aq:49.31 tex:27657 mv:21734 misc:7745 imb:2171 pmb:1047 smb:11182 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:54.06 aq:49.26 tex:17823 mv:17495 misc:6938 imb:1306 pmb:933 smb:12161 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:54.01 aq:48.86 tex:18382 mv:19334 misc:7476 imb:1450 pmb:965 smb:11985 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:53.97 aq:48.89 tex:24077 mv:22628 misc:7887 imb:1934 pmb:1080 smb:11386 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:53.93 aq:48.99 tex:18015 mv:19561 misc:7160 imb:1290 pmb:1060 smb:12050 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:53.89 aq:48.57 tex:28201 mv:23229 misc:7682 imb:2194 pmb:1002 smb:11204 d:- ref:0 ;
